,0
2004-02-12 11:12:39,24.14655204958943
2004-02-12 11:22:39,32.76549079402536
2004-02-12 11:32:39,35.3479384611277
2004-02-12 11:42:39,44.87249245682751
2004-02-12 11:52:39,39.24528497851889
2004-02-12 12:02:39,42.62222804146912
2004-02-12 12:12:39,43.965236622932565
2004-02-12 12:22:39,48.14004514244568
2004-02-12 12:32:39,53.620158037532306
2004-02-12 12:42:39,50.58438120319619
2004-02-12 12:52:39,46.086442565344356
2004-02-12 13:02:39,44.07609381555378
2004-02-12 13:12:39,45.63865184550876
2004-02-12 13:22:39,51.75103047827683
2004-02-12 13:32:39,50.0442470436468
2004-02-12 13:42:39,49.71318122993398
2004-02-12 13:52:39,48.41306965814277
2004-02-12 14:02:39,44.84768527988774
2004-02-12 14:12:39,47.65356226164556
2004-02-12 14:22:39,49.163455716123664
2004-02-12 14:32:39,50.94637389400011
2004-02-12 14:42:39,50.56708152950843
2004-02-12 14:52:39,51.15409097360059
2004-02-12 15:02:39,49.56913302020658
2004-02-12 15:12:39,46.61433428245543
2004-02-12 15:22:39,46.31680445195762
2004-02-12 15:32:39,48.78686678054365
2004-02-12 15:42:39,46.944874506619804
2004-02-12 15:52:39,48.95852885917292
2004-02-12 16:02:39,48.85087623766421
2004-02-12 16:12:39,49.536812139531065
2004-02-12 16:22:39,50.058506166571725
2004-02-12 16:32:39,50.74059690911903
2004-02-12 16:42:39,52.09851292664705
2004-02-12 16:52:39,53.09935128095675
2004-02-12 17:02:39,51.65653367533591
2004-02-12 17:12:39,50.75065675193976
2004-02-12 17:22:39,49.939412269034975
2004-02-12 17:32:39,50.88015996322735
2004-02-12 17:42:39,48.35933845749853
2004-02-12 17:52:39,48.28899562387259
2004-02-12 18:02:39,50.196874632503324
2004-02-12 18:12:39,47.624600327982954
2004-02-12 18:22:39,48.234345883908496
2004-02-12 18:32:39,49.74487126575198
2004-02-12 18:42:39,52.06354695637551
2004-02-12 18:52:39,50.38504597804474
2004-02-12 19:02:39,48.21311697114928
2004-02-12 19:12:39,48.86809330905516
2004-02-12 19:22:39,50.47821232989938
2004-02-12 19:32:39,50.98492550559739
2004-02-12 19:42:39,44.81150850081809
2004-02-12 19:52:39,43.85240243313248
2004-02-12 20:02:39,42.945114058413694
2004-02-12 20:12:39,48.20709801026955
2004-02-12 20:22:39,46.23381141686811
2004-02-12 20:32:39,46.230005602721505
2004-02-12 20:42:39,48.40533338937129
2004-02-12 20:52:39,53.184391575078905
2004-02-12 21:02:39,52.48823791271554
2004-02-12 21:12:39,52.40091410646505
2004-02-12 21:22:39,50.98822138771378
2004-02-12 21:32:39,51.65901611215065
2004-02-12 21:42:39,48.27617372520175
2004-02-12 21:52:39,49.54831927250808
2004-02-12 22:02:39,48.75656358300144
2004-02-12 22:12:39,46.54255873172261
2004-02-12 22:22:39,47.26007113554408
2004-02-12 22:32:39,49.11452037083073
2004-02-12 22:42:39,50.90391497762495
2004-02-12 22:52:39,51.752427683758434
2004-02-12 23:02:39,49.54973987545856
2004-02-12 23:12:39,48.64350246521025
2004-02-12 23:22:39,48.94563093562943
2004-02-12 23:32:39,47.66762704114384
2004-02-12 23:42:39,49.371429020308625
2004-02-12 23:52:39,50.5865457762698
2004-02-13 00:02:39,51.74464146057581
2004-02-13 00:12:39,52.1436987465054
2004-02-13 00:22:39,52.230131451112946
2004-02-13 00:32:39,50.23123006049093
2004-02-13 00:42:39,48.33356670691566
