,b1x,b1y,b2x,b2y,b3x,b3y,b4x,b4y
2003-10-29 14:39:46,0.12692812149030744,0.12405322525513927,0.12573123687680088,0.12133561209043348,0.1317909565896772,0.13321670980028352,0.11753088529713221,0.11895971482982401
2003-10-29 14:49:46,0.1267441769617661,0.12449504370330547,0.12581410225108733,0.12174783924996321,0.13096054494848425,0.13210405781532358,0.11711997656135471,0.11885209238732257
2003-10-29 14:59:46,0.12691454660872079,0.125458762634894,0.12607954489965345,0.12190966355779032,0.1320501489330533,0.13276200009766176,0.1177620000976604,0.1195908979930652
2003-10-29 15:09:46,0.12650656770350138,0.12351735924605624,0.12494618877874986,0.1215278578055559,0.1303487474974361,0.13129400849650874,0.11669158650324625,0.11788993603203209
2003-10-29 15:19:46,0.12726480785194613,0.12463006006152569,0.1259534156941251,0.12162039162068412,0.12954470433126639,0.13272249621563664,0.11795195077884522,0.11901503979686279
2003-10-29 15:29:46,0.12912378534108154,0.12659216758630737,0.12664026563797046,0.1226827970115722,0.13147678109282604,0.13397182479613284,0.11864285365496224,0.11972400996142248
2003-10-29 15:39:46,0.12896117974510485,0.12636354314175477,0.1258169832511352,0.12180091801357479,0.1318191806240541,0.13320259778309554,0.11733668636163694,0.22013150056155117
2003-10-29 15:49:46,0.12784462131940014,0.1253523609551243,0.12577205918257736,0.12215894330777811,0.13132609014112126,0.13301538161043036,0.11775745886029518,0.11842150495629601
2003-10-29 15:59:46,0.1273976268372473,0.12536696127740554,0.1259263147614631,0.12208813906929052,0.1318694272181253,0.13384716050588527,0.11817788954538654,0.11966092094340382
2003-10-29 16:09:46,0.12888734801503976,0.1256016407051127,0.12581512769178105,0.1206552566043255,0.1310356951023005,0.1324447482787248,0.11765774696029897,0.1195324967039401
2003-10-29 16:19:46,0.12910269056106277,0.12489770008301206,0.12495561306704342,0.12100747106792291,0.1312729625469995,0.1323127594120812,0.11716167781629835,0.11882152448849942
2003-10-29 16:29:46,0.1292109966306955,0.1261703696469548,0.12731173397138554,0.12211411690023934,0.1321958591728114,0.1338941354558325,0.11828956492016016,0.12003413252600109
2003-10-29 16:39:46,0.128536549636213,0.12624986571609936,0.12653039699204097,0.12145236583817454,0.1309190390155766,0.13186332340446308,0.11688598076077913,0.11862986473948854
2003-10-29 16:49:46,0.1273361980565446,0.12483343913277055,0.12547365594023122,0.12062029395966557,0.13050896039845608,0.13160378924752264,0.11381537184432775,0.11852649055129555
2003-10-29 16:59:46,0.1294278040919972,0.12749426241515643,0.12682596806484606,0.12267913472337437,0.13200673861028334,0.13346179012647094,0.11771800380877781,0.11969261194394229
2003-10-29 17:09:46,0.12796581864348927,0.12555447043312673,0.12469783680843824,0.12109805166267794,0.13069769031691011,0.13308286537428554,0.11738644465061653,0.11879813467454405
2003-10-29 17:19:46,0.12853464524634947,0.1250328629327604,0.12477743053860064,0.12021700278333909,0.12975975389423278,0.13245485619415098,0.11685160408222908,0.11828101958103265
2003-10-29 17:29:46,0.1296977391474207,0.1272890277845596,0.12713999707016957,0.12259353484056783,0.13179427706431052,0.1332147077494023,0.11832858049709381,0.11972220323257905
2003-10-29 17:39:46,0.1280341813565108,0.1257828018946242,0.12492768201572374,0.1214362517701055,0.13070638214756544,0.13151521070364727,0.11668660579129696,0.11876033986034336
2003-10-29 17:49:46,0.12826036427559948,0.12545915327896734,0.12625499291957668,0.1212017676644368,0.13151716392402,0.13428819766590064,0.11787821670979859,0.11986039357390409
2003-10-29 17:59:46,0.12982880023438653,0.12616197079935504,0.1262452756482248,0.12220347673226194,0.1318135162849742,0.13300717808486828,0.11845607695688129,0.12032184188681042
